Name,Countries,Value,,,
X360,North America,332.92,,,
PS3,North America,228.11,,,
DS,North America,62.87,,,
3DS,North America,78.03,,,
PS4,North America,96.8,,,
Wii,North America,126.51,,,
XOne,North America,83.19,,,
WiiU,North America,38.32,,,
PC,North America,38.03,,,
PSP,North America,9.58,,,
PSV,North America,16.07,,,
PS2,North America,2.32,,,
X360,European Union,171.25,,,
PS3,European Union,224.27,,,
DS,European Union,30.36,,,
3DS,European Union,58.3,,,
PS4,European Union,123.7,,,
Wii,European Union,69.14,,,
XOne,European Union,45.65,,,
WiiU,European Union,24.23,,,
PC,European Union,66.17,,,
PSP,European Union,7.86,,,
PSV,European Union,16.27,,,
PS2,European Union,1.67,,,
X360,Japon,5.46,,,
PS3,Japon,59.06,,,
DS,Japon,27.9,,,
3DS,Japon,97.3,,,
PS4,Japon,14.3,,,
Wii,Japon,17.75,,,
XOne,Japon,0.34,,,
WiiU,Japon,12.79,,,
PC,Japon,0,,,
PSP,Japon,42.2,,,
PSV,Japon,20.89,,,
PS2,Japon,0.8,,,
X360,Other Countries,47.06,,,
PS3,Other Countries,90.87,,,
DS,Other Countries,8.57,,,
3DS,Other Countries,12.55,,,
PS4,Other Countries,43.36,,,
Wii,Other Countries,18.85,,,
XOne,Other Countries,11.92,,,
WiiU,Other Countries,6.45,,,
PC,Other Countries,15.67,,,
PSP,Other Countries,4.72,,,
PSV,Other Countries,8.41,,,
PS2,Other Countries,1.3,,,
